variant,split,bin_k,N_k,E_k,D_k,N_k_dom,E_k_dom,D_k_dom,N_k_coex,E_k_coex,D_k_coex
median_laughter_unvoiced,test,1,228327,71778,0.31436492399059246,133451,29961,0.22450937048055092,94876,41817,0.44075424764956367
median_laughter_unvoiced,test,2,300089,136236,0.45398531768908557,159363,45547,0.28580661759630527,140726,90689,0.6444367067919219
median_laughter_unvoiced,test,3,371330,208386,0.5611881614736218,171681,57425,0.3344866350964871,199649,150961,0.7561320116804993
median_laughter_unvoiced,test,4,441929,301250,0.6816705850939857,173530,73094,0.4212182331585317,268399,228156,0.8500627796675845
median_laughter_unvoiced,train,1,776596,249849,0.3217232640909817,444410,98936,0.22262325330213092,332186,150913,0.4543027099275707
median_laughter_unvoiced,train,2,1015663,464563,0.4573987631724302,530340,149734,0.2823358600143304,485323,314829,0.6486999379794487
median_laughter_unvoiced,train,3,1253055,706643,0.56393614007366,572171,190163,0.33235343979334847,680884,516480,0.758543305467598
median_laughter_unvoiced,train,4,1488449,1008978,0.6778720668292968,578480,239947,0.4147887567418061,909969,769031,0.8451178007162882
median_laughter_unvoiced,val,1,115545,39030,0.33779047124496947,66399,15322,0.23075648729649542,49146,23708,0.48239938143490824
median_laughter_unvoiced,val,2,151698,71389,0.470599480546876,79309,23015,0.2901940511165189,72389,48374,0.6682507010733675
median_laughter_unvoiced,val,3,187571,108838,0.5802496121468671,85380,29700,0.3478566408995081,102191,79138,0.7744126195066102
median_laughter_unvoiced,val,4,223197,155267,0.6956500311384114,85952,37913,0.4410950297840655,137245,117354,0.8550694014353892
median_laughter_voiced,test,1,228327,70753,0.3098757483784222,125441,27487,0.21912293428783253,102886,43266,0.4205236864102016
median_laughter_voiced,test,2,300089,134208,0.4472273225609736,149872,41051,0.27390706736415077,150217,93157,0.620149517032027
median_laughter_voiced,test,3,371330,205112,0.5523712062047236,161228,51171,0.31738283672811174,210102,153941,0.7326964997953375
median_laughter_voiced,test,4,441929,296440,0.6707864838016967,162536,64835,0.39889624452429,279393,231605,0.8289577763222414
median_laughter_voiced,train,1,776596,246729,0.3177057311652391,420422,91547,0.21775026045259288,356174,155182,0.43569154402061916
median_laughter_voiced,train,2,1015663,458463,0.45139283404042485,501466,136269,0.2717412546413914,514197,322194,0.6265964212159931
median_laughter_voiced,train,3,1253055,696959,0.5562078280682013,539993,171676,0.3179226397379225,713062,525283,0.7366582429017393
median_laughter_voiced,train,4,1488449,994686,0.66827012547961,544251,215638,0.39621057196036386,944198,779048,0.8250896528058733
median_laughter_voiced,val,1,115545,38454,0.3328054004933143,63262,14161,0.22384685909392685,52283,24293,0.4646443394602452
median_laughter_voiced,val,2,151698,70362,0.463829450618993,75409,20960,0.27795090771658554,76289,49402,0.6475638689719356
median_laughter_voiced,val,3,187571,107259,0.5718314664846911,80951,26809,0.3311756494669615,106620,80450,0.7545488651284937
median_laughter_voiced,val,4,223197,152976,0.6853855562574765,81116,34171,0.4212609103012969,142081,118805,0.8361779548285837
no_median_laughter_voiced,test,1,228327,70753,0.3098757483784222,125441,27487,0.21912293428783253,102886,43266,0.4205236864102016
no_median_laughter_voiced,test,2,300089,134211,0.44723731959518676,149874,41054,0.27392342901370487,150215,93157,0.620157773857471
no_median_laughter_voiced,test,3,371330,205107,0.5523577410928285,161229,51172,0.31738707056422855,210101,153935,0.7326714294553572
no_median_laughter_voiced,test,4,441929,296442,0.6707910094155396,162539,64838,0.39890733916167814,279390,231604,0.8289630981781739
no_median_laughter_voiced,train,1,776596,246730,0.3177070188360486,420462,91548,0.2177319234556274,356134,155182,0.4357404797070765
no_median_laughter_voiced,train,2,1015663,458467,0.45139677235460973,501492,136267,0.2717231780367384,514171,322200,0.6266397754832537
no_median_laughter_voiced,train,3,1253055,696969,0.5562158085638699,540004,171678,0.3179198672602425,713051,525291,0.7366808264766476
no_median_laughter_voiced,train,4,1488449,994695,0.6682761720421727,544255,215639,0.39620949738633543,944194,779056,0.8251016210651625
no_median_laughter_voiced,val,1,115545,38454,0.3328054004933143,63262,14161,0.22384685909392685,52283,24293,0.4646443394602452
no_median_laughter_voiced,val,2,151698,70362,0.463829450618993,75409,20960,0.27795090771658554,76289,49402,0.6475638689719356
no_median_laughter_voiced,val,3,187571,107259,0.5718314664846911,80951,26810,0.3311880026188682,106620,80449,0.754539486025136
no_median_laughter_voiced,val,4,223197,152978,0.6853945169513928,81115,34173,0.42129076003205324,142082,118805,0.8361720696499204
