epoch,grad_norm,step,train_loss,train_softmax_entropy,train_target_entropy,train_unseen_states,train_vad_loss,train_vap_loss,val_loss,val_softmax_entropy,val_target_entropy,val_unseen_states,val_vap_loss
0,0.33176010847091675,49,2.9944519996643066,3.6037096977233887,5.362306118011475,3.0,0.0,2.9944519996643066,,,,,
0,0.2950710952281952,99,3.1021461486816406,3.675626039505005,5.432664394378662,1.0,0.0,3.1021461486816406,,,,,
0,0.2890404760837555,149,2.604914426803589,3.5011179447174072,4.919312477111816,13.0,0.0,2.604914426803589,,,,,
0,,157,,,,,,,2.8774914741516113,3.699373722076416,5.31962251663208,4.436521530151367,2.8774914741516113
1,0.26882290840148926,199,2.7046241760253906,3.632955312728882,5.09602689743042,2.0,0.0,2.7046241760253906,,,,,
1,0.24234305322170258,249,3.0139358043670654,3.789742946624756,5.581414222717285,3.0,0.0,3.0139358043670654,,,,,
1,0.19655203819274902,299,2.581472158432007,3.601161003112793,5.0041184425354,11.0,0.0,2.581472158432007,,,,,
1,,315,,,,,,,2.7904844284057617,3.7384438514709473,5.31962251663208,4.436521530151367,2.7904844284057617
2,0.18585360050201416,349,2.750398874282837,3.6561481952667236,5.211246013641357,7.0,0.0,2.750398874282837,,,,,
2,0.16293726861476898,399,2.6062004566192627,3.7037227153778076,5.262451648712158,0.0,0.0,2.6062004566192627,,,,,
2,0.16908399760723114,449,2.4017457962036133,3.5016486644744873,4.817080497741699,17.0,0.0,2.4017457962036133,,,,,
2,,473,,,,,,,2.7414541244506836,3.768766164779663,5.31962251663208,4.436521530151367,2.7414541244506836
3,0.19048917293548584,499,2.587977647781372,3.659512996673584,5.139101982116699,7.0,0.0,2.587977647781372,,,,,
3,0.13065075874328613,549,2.611443042755127,3.642136573791504,5.182250499725342,6.0,0.0,2.611443042755127,,,,,
3,0.10477588325738907,599,2.6793627738952637,3.795332670211792,5.309815406799316,5.0,0.0,2.6793627738952637,,,,,
3,,631,,,,,,,2.712212562561035,3.7847347259521484,5.31962251663208,4.436521530151367,2.712212562561035
4,0.13370338082313538,649,2.430100679397583,3.5397043228149414,4.9334821701049805,7.0,0.0,2.430100679397583,,,,,
4,0.11490141600370407,699,2.595423936843872,3.6567306518554688,5.178315162658691,4.0,0.0,2.595423936843872,,,,,
4,0.12347949296236038,749,2.5611696243286133,3.7050299644470215,5.152881622314453,6.0,0.0,2.5611696243286133,,,,,
4,,789,,,,,,,2.693592071533203,3.791476249694824,5.31962251663208,4.436521530151367,2.693592071533203
5,0.18740344047546387,799,2.460458993911743,3.642219305038452,5.018110752105713,3.0,0.0,2.460458993911743,,,,,
5,0.1363440304994583,849,2.678351879119873,3.7265779972076416,5.344911575317383,1.0,0.0,2.678351879119873,,,,,
5,0.09109435975551605,899,2.785824775695801,3.8918204307556152,5.440726280212402,5.0,0.0,2.785824775695801,,,,,
5,,947,,,,,,,2.6808719635009766,3.7935423851013184,5.31962251663208,4.436521530151367,2.6808719635009766
6,0.15441951155662537,949,2.775606870651245,3.694359540939331,5.467959403991699,4.0,0.0,2.775606870651245,,,,,
6,0.12719644606113434,999,2.4787027835845947,3.6225168704986572,5.0989484786987305,6.0,0.0,2.4787027835845947,,,,,
6,0.11403205245733261,1049,2.7286624908447266,3.8441944122314453,5.4625396728515625,2.0,0.0,2.7286624908447266,,,,,
6,0.13535135984420776,1099,2.3305487632751465,3.507523536682129,4.830264091491699,17.0,0.0,2.3305487632751465,,,,,
6,,1105,,,,,,,2.671613931655884,3.793365716934204,5.31962251663208,4.436521530151367,2.671613931655884
7,0.1646190732717514,1149,2.654911994934082,3.711216449737549,5.359814643859863,5.0,0.0,2.654911994934082,,,,,
7,0.12212147563695908,1199,2.7392613887786865,3.826493740081787,5.469358444213867,5.0,0.0,2.7392613887786865,,,,,
7,0.09239216893911362,1249,2.5068256855010986,3.618001699447632,5.085328102111816,15.0,0.0,2.5068256855010986,,,,,
7,,1263,,,,,,,2.664536237716675,3.792339563369751,5.31962251663208,4.436521530151367,2.664536237716675
8,0.10586629807949066,1299,2.5821938514709473,3.6832094192504883,5.262275695800781,2.0,0.0,2.5821938514709473,,,,,
8,0.13123732805252075,1349,2.595621347427368,3.7074787616729736,5.272525787353516,3.0,0.0,2.595621347427368,,,,,
8,0.11141631007194519,1399,2.3977010250091553,3.534039258956909,4.9607391357421875,10.0,0.0,2.3977010250091553,,,,,
8,,1421,,,,,,,2.6589198112487793,3.79071044921875,5.31962251663208,4.436521530151367,2.6589198112487793
9,0.13435757160186768,1449,2.6272833347320557,3.748004198074341,5.187265396118164,6.0,0.0,2.6272833347320557,,,,,
9,0.13660839200019836,1499,2.719008445739746,3.807396650314331,5.469359397888184,3.0,0.0,2.719008445739746,,,,,
9,0.16339103877544403,1549,2.663332462310791,3.786820888519287,5.342303276062012,3.0,0.0,2.663332462310791,,,,,
9,,1579,,,,,,,2.6543407440185547,3.7889962196350098,5.31962251663208,4.436521530151367,2.6543407440185547
10,0.08989299088716507,1599,2.5923452377319336,3.68550705909729,5.299012184143066,4.0,0.0,2.5923452377319336,,,,,
10,0.12316780537366867,1649,2.476376533508301,3.628671884536743,5.0969038009643555,5.0,0.0,2.476376533508301,,,,,
10,0.1314828097820282,1699,2.6247880458831787,3.8349592685699463,5.250718116760254,7.0,0.0,2.6247880458831787,,,,,
10,,1737,,,,,,,2.650527238845825,3.7871549129486084,5.31962251663208,4.436521530151367,2.650527238845825
11,0.14177876710891724,1749,2.6819069385528564,3.728795051574707,5.387985706329346,6.0,0.0,2.6819069385528564,,,,,
11,0.11384904384613037,1799,2.552567958831787,3.6435792446136475,5.260602951049805,3.0,0.0,2.552567958831787,,,,,
11,0.12518247961997986,1849,2.7632412910461426,3.9155030250549316,5.520378589630127,2.0,0.0,2.7632412910461426,,,,,
11,,1895,,,,,,,2.64729905128479,3.7852790355682373,5.31962251663208,4.436521530151367,2.64729905128479
12,0.0860743522644043,1899,2.7409110069274902,3.9199888706207275,5.441356182098389,9.0,0.0,2.7409110069274902,,,,,
12,0.10572724789381027,1949,2.4840807914733887,3.5318942070007324,5.163827896118164,2.0,0.0,2.4840807914733887,,,,,
12,0.0845731571316719,1999,2.6133434772491455,3.8272042274475098,5.278988361358643,5.0,0.0,2.6133434772491455,,,,,
12,0.1115948036313057,2049,2.548449754714966,3.6409926414489746,5.133044242858887,6.0,0.0,2.548449754714966,,,,,
12,,2053,,,,,,,2.6445302963256836,3.783325433731079,5.31962251663208,4.436521530151367,2.6445302963256836
13,0.1293363720178604,2099,2.582000255584717,3.67643666267395,5.221367359161377,0.0,0.0,2.582000255584717,,,,,
13,0.13450635969638824,2149,2.586956024169922,3.727579116821289,5.275844573974609,6.0,0.0,2.586956024169922,,,,,
13,0.09009674936532974,2199,2.4236347675323486,3.6157994270324707,5.004750728607178,6.0,0.0,2.4236347675323486,,,,,
13,,2211,,,,,,,2.6421310901641846,3.781306505203247,5.31962251663208,4.436521530151367,2.6421310901641846
14,0.1340084671974182,2249,2.5179555416107178,3.7093348503112793,5.139614105224609,7.0,0.0,2.5179555416107178,,,,,
14,0.11262684315443039,2299,2.5542054176330566,3.740330219268799,5.206287860870361,3.0,0.0,2.5542054176330566,,,,,
14,0.1266055554151535,2349,2.6134660243988037,3.6500084400177,5.260570526123047,3.0,0.0,2.6134660243988037,,,,,
14,,2369,,,,,,,2.640029191970825,3.7794034481048584,5.31962251663208,4.436521530151367,2.640029191970825
15,0.11714273691177368,2399,2.502230167388916,3.68210768699646,5.170553207397461,3.0,0.0,2.502230167388916,,,,,
15,0.11551984399557114,2449,2.6101326942443848,3.75148606300354,5.40768575668335,3.0,0.0,2.6101326942443848,,,,,
15,0.10401421040296555,2499,2.5370280742645264,3.767775535583496,5.144129753112793,19.0,0.0,2.5370280742645264,,,,,
15,,2527,,,,,,,2.6381750106811523,3.777458906173706,5.31962251663208,4.436521530151367,2.6381750106811523
16,0.09358106553554535,2549,2.4528133869171143,3.5500314235687256,5.107975482940674,12.0,0.0,2.4528133869171143,,,,,
16,0.09415514767169952,2599,2.71440052986145,3.826862096786499,5.443628311157227,1.0,0.0,2.71440052986145,,,,,
16,0.0988766998052597,2649,2.5064806938171387,3.715960741043091,5.145770072937012,1.0,0.0,2.5064806938171387,,,,,
16,,2685,,,,,,,2.6365299224853516,3.775676727294922,5.31962251663208,4.436521530151367,2.6365299224853516
17,0.13625793159008026,2699,2.6380910873413086,3.689852714538574,5.32650089263916,3.0,0.0,2.6380910873413086,,,,,
17,0.100888192653656,2749,2.615288496017456,3.7712316513061523,5.285317420959473,2.0,0.0,2.615288496017456,,,,,
17,0.12101932615041733,2799,2.564880132675171,3.8382654190063477,5.203885078430176,6.0,0.0,2.564880132675171,,,,,
17,,2843,,,,,,,2.635058879852295,3.773791551589966,5.31962251663208,4.436521530151367,2.635058879852295
18,0.09206710010766983,2849,2.656618595123291,3.7783830165863037,5.3520050048828125,10.0,0.0,2.656618595123291,,,,,
18,0.12079118192195892,2899,2.675560712814331,3.7454068660736084,5.426163673400879,6.0,0.0,2.675560712814331,,,,,
18,0.12327538430690765,2949,2.636972188949585,3.809091806411743,5.299369812011719,8.0,0.0,2.636972188949585,,,,,
